question,context,true_answers,predicted_answer
فرهاد مجیدی بعد از بازی برای جوانان کشاورز به چه تیمی رفت؟,فرهاد مجیدی قادیکلایی مشهور به فرهاد مجیدی بازیکن فوتبال اهل ایران است. مجیدی در ۴۵ بازی ملی ۱۰ گل به ثمر رسانده‌است. او همچنین سابقه بازی در باشگاه‌های صنایع پارچین، کشاورز، بهمن کرج، استقلال و راپید وین اتریش را در کارنامه دارد. مجیدی ۷ سال سابقه حضور در لیگ امارات با تیم‌های الوصل، العین، الاهلی و النصر را دارد و یک سال نیز در تیم الغرافه قطر بازی کرده‌است. مجیدی در ۷ آبان ۱۳۹۲ در باشگاه استقلال تهران از دنیای فوتبال به عنوان بازیکن خداحافظی کرد. وی از خانواده‌ای مازندرانی و قائم‌شهری است ولی متولد و ساکن تهران است. وی یک برادر و ۲ خواهر دارد که به غیر از فرهاد، برادرش فرزاد نیز به فوتبال روی آورد. همسر وی، فرناز مؤمنی نام دارد و دارای دو فرزند به نام‌های تیام و امیر بردیا می‌باشد. فرهاد مجیدی دوران فوتبال خود را با تیم فوتبال صنایع پارچین که محل زندگی خود و کار پدرش در آنجا بود شروع کرد. نخستین تیم رسمی که فرهاد مجیدی در آن بازی کرد، تیم جوانان کشاورز بود. او بعد از مدتی بازی در این تیم به جوانان بهمن پیوست.,"['جوانان بهمن', 'جوانان بهمن']",استقلال تهران
ساتیاگراها اشاره به چه چیزی دارد؟,مهانداس کارامچاند گاندی رهبر سیاسی و معنوی هندی‌ها بود که ملت هند را در راه آزادی از استعمار امپراتوری بریتانیا رهبری کرد. او در طول زندگی‌اش استفاده از هر نوع ترور و خشونت را برای رسیدن به مقاصد رد می‌کرد. فلسفهٔ بی‌خشونتی گاندی که خود نام «ساتیاگراها» روی بسیاری از جنبش‌های مقاومت بدون خشونت در سراسر جهان و تا امروز تأثیر گذاشته‌است. از زمانی که وی مسئولیت رهبری نبرد برای آزادی و کنگره ملی هند در سال ۱۹۱۸ را به عهده گرفت، به عنوان نمادی ملی شناخته شد و میلیون‌ها نفر از مردم او را با لقب مهاتما یا روح بزرگ یاد می‌کردند. هر چند که او از القاب افتخارآمیز بیزار بود ولی امروز هم همگی او را با نام مهاتما گاندی می‌شناسند. سوای اینکه بسیاری او را به عنوان یکی از بزرگ‌ترین رهبران تاریخ تلقی می‌کنند. گاندی توانست با استفاده از شیوهٔ ضد خشونت نافرمانی مدنی استقلال هند را از بریتانیا بگیرد و در نهایت دست امپراتوری بریتانیا را از هند کوتاه کند. اصل ساتیاگراهای گاندی روی بسیاری از فعالان آزادیخواه نظیر دکتر مارتین لوترکینگ، تنزین گیاتسو، لخ والسا، استفان بیکو، آنگ سان سو چی و نلسون ماندلا تأثیر گذاشت.,"['فلسفهٔ بی\u200cخشونتی گاندی', 'فلسفهٔ بی\u200cخشونتی گاندی']",جنبش‌های مقاومت بدون خشونت
فلسفهٔ بی خشونتی گاندی روی چه افراد آزادی خواهی اثر گذاشته بود؟,مهانداس کارامچاند گاندی رهبر سیاسی و معنوی هندی‌ها بود که ملت هند را در راه آزادی از استعمار امپراتوری بریتانیا رهبری کرد. او در طول زندگی‌اش استفاده از هر نوع ترور و خشونت را برای رسیدن به مقاصد رد می‌کرد. فلسفهٔ بی‌خشونتی گاندی که خود نام «ساتیاگراها» روی بسیاری از جنبش‌های مقاومت بدون خشونت در سراسر جهان و تا امروز تأثیر گذاشته‌است. از زمانی که وی مسئولیت رهبری نبرد برای آزادی و کنگره ملی هند در سال ۱۹۱۸ را به عهده گرفت، به عنوان نمادی ملی شناخته شد و میلیون‌ها نفر از مردم او را با لقب مهاتما یا روح بزرگ یاد می‌کردند. هر چند که او از القاب افتخارآمیز بیزار بود ولی امروز هم همگی او را با نام مهاتما گاندی می‌شناسند. سوای اینکه بسیاری او را به عنوان یکی از بزرگ‌ترین رهبران تاریخ تلقی می‌کنند. گاندی توانست با استفاده از شیوهٔ ضد خشونت نافرمانی مدنی استقلال هند را از بریتانیا بگیرد و در نهایت دست امپراتوری بریتانیا را از هند کوتاه کند. اصل ساتیاگراهای گاندی روی بسیاری از فعالان آزادیخواه نظیر دکتر مارتین لوترکینگ، تنزین گیاتسو، لخ والسا، استفان بیکو، آنگ سان سو چی و نلسون ماندلا تأثیر گذاشت.,"['دکتر مارتین لوترکینگ، تنزین گیاتسو، لخ والسا، استفان بیکو، آنگ سان سو چی و نلسون ماندلا', 'مارتین لوترکینگ، تنزین گیاتسو، لخ والسا، استفان بیکو، آنگ سان سو چی و نلسون ماندلا']",فلسفهٔ بی‌خشونتی گاندی
فراوان ترین دوزیست در دنیا چیه؟,قورباغه، وَک یا غوک یا چغز به فارسی افغانستان بقه جانوری است دوزیست از راسته بی‌دمان. رایج‌ترین دوزیستان جهان قورباغه‌ها و وزغ‌ها هستند. نوع بالغ قورباغه‌ها عموماً بدون دم و چمباته‌زده هستند، آن‌ها پاهای بلند عقب برای پریدن و زبان بلند چسبناک برای گرفتن طعمه دارند. معمولاً قورباغه‌ها بدن نرم و مرطوب دارند و در نزدیکی آب‌ها زندگی می‌کنند. وزغها اما پوست خشک و زگیل مانند دارند و عمدتاً روی خشکی زندگی می‌کنند. در اغلب مناطق جهان زیستگاه قورباغه‌ها گسترده شده‌است، بااین‌حال آن‌ها در قطب جنوب و و در بسیاری از جزایر اقیانوسی حضور ندارند. با توجه به ساختار و نیاز پوست قورباغه‌ها، بزرگترین تنوع آن‌ها را می‌توان در در مناطق گرمسیری جهان، جایی که آب به آسانی در دسترس است، یافت. برخی از گونه‌های قورباغه دارای مواد ضدیخ در خون خود هستند به‌طوری‌که با آغاز زمستان و پایین آمدن دما بدنشان منجمد می‌گردد و با فرارسیدن بهار بدن یخ زده‌شان دوباره احیاء می‌شود و قورباغه به حیات خود ادامه می‌دهد. قورباغه‌ها به صورت تجاری برای اهداف مختلفی مورد استفاده قرار می‌گیرند.,"['قورباغه\u200cها و وزغ\u200cها', 'قورباغه\u200cها و وزغ\u200cها']",وزغ‌ها
فرق قورباغه و وزغ‌ چیست؟,قورباغه، وَک یا غوک یا چغز به فارسی افغانستان بقه جانوری است دوزیست از راسته بی‌دمان. رایج‌ترین دوزیستان جهان قورباغه‌ها و وزغ‌ها هستند. نوع بالغ قورباغه‌ها عموماً بدون دم و چمباته‌زده هستند، آن‌ها پاهای بلند عقب برای پریدن و زبان بلند چسبناک برای گرفتن طعمه دارند. معمولاً قورباغه‌ها بدن نرم و مرطوب دارند و در نزدیکی آب‌ها زندگی می‌کنند. وزغها اما پوست خشک و زگیل مانند دارند و عمدتاً روی خشکی زندگی می‌کنند. در اغلب مناطق جهان زیستگاه قورباغه‌ها گسترده شده‌است، بااین‌حال آن‌ها در قطب جنوب و و در بسیاری از جزایر اقیانوسی حضور ندارند. با توجه به ساختار و نیاز پوست قورباغه‌ها، بزرگترین تنوع آن‌ها را می‌توان در در مناطق گرمسیری جهان، جایی که آب به آسانی در دسترس است، یافت. برخی از گونه‌های قورباغه دارای مواد ضدیخ در خون خود هستند به‌طوری‌که با آغاز زمستان و پایین آمدن دما بدنشان منجمد می‌گردد و با فرارسیدن بهار بدن یخ زده‌شان دوباره احیاء می‌شود و قورباغه به حیات خود ادامه می‌دهد. قورباغه‌ها به صورت تجاری برای اهداف مختلفی مورد استفاده قرار می‌گیرند.,"['قورباغه\u200cها بدن نرم و مرطوب دارند و در نزدیکی آب\u200cها زندگی می\u200cکنند. وزغها اما پوست خشک و زگیل مانند دارند و عمدتاً روی خشکی زندگی می\u200cکنند', 'قورباغه\u200cها بدن نرم و مرطوب دارند و در نزدیکی آب\u200cها زندگی می\u200cکنند. وزغها اما پوست خشک و زگیل مانند دارند و عمدتاً روی خشکی']",معمولاً قورباغه‌ها بدن نرم و مرطوب دارند و در نزدیکی آب‌ها زندگی می‌کنند.
محل زندگی قورباغه کجاست؟,قورباغه، وَک یا غوک یا چغز به فارسی افغانستان بقه جانوری است دوزیست از راسته بی‌دمان. رایج‌ترین دوزیستان جهان قورباغه‌ها و وزغ‌ها هستند. نوع بالغ قورباغه‌ها عموماً بدون دم و چمباته‌زده هستند، آن‌ها پاهای بلند عقب برای پریدن و زبان بلند چسبناک برای گرفتن طعمه دارند. معمولاً قورباغه‌ها بدن نرم و مرطوب دارند و در نزدیکی آب‌ها زندگی می‌کنند. وزغها اما پوست خشک و زگیل مانند دارند و عمدتاً روی خشکی زندگی می‌کنند. در اغلب مناطق جهان زیستگاه قورباغه‌ها گسترده شده‌است، بااین‌حال آن‌ها در قطب جنوب و و در بسیاری از جزایر اقیانوسی حضور ندارند. با توجه به ساختار و نیاز پوست قورباغه‌ها، بزرگترین تنوع آن‌ها را می‌توان در در مناطق گرمسیری جهان، جایی که آب به آسانی در دسترس است، یافت. برخی از گونه‌های قورباغه دارای مواد ضدیخ در خون خود هستند به‌طوری‌که با آغاز زمستان و پایین آمدن دما بدنشان منجمد می‌گردد و با فرارسیدن بهار بدن یخ زده‌شان دوباره احیاء می‌شود و قورباغه به حیات خود ادامه می‌دهد. قورباغه‌ها به صورت تجاری برای اهداف مختلفی مورد استفاده قرار می‌گیرند.,"['در نزدیکی آب\u200cها', 'نزدیکی آب\u200cها']",در قطب جنوب و و در بسیاری از جزایر اقیانوسی حضور ندارند.
پوست وزغ ها به چه صورت است؟,قورباغه، وَک یا غوک یا چغز به فارسی افغانستان بقه جانوری است دوزیست از راسته بی‌دمان. رایج‌ترین دوزیستان جهان قورباغه‌ها و وزغ‌ها هستند. نوع بالغ قورباغه‌ها عموماً بدون دم و چمباته‌زده هستند، آن‌ها پاهای بلند عقب برای پریدن و زبان بلند چسبناک برای گرفتن طعمه دارند. معمولاً قورباغه‌ها بدن نرم و مرطوب دارند و در نزدیکی آب‌ها زندگی می‌کنند. وزغها اما پوست خشک و زگیل مانند دارند و عمدتاً روی خشکی زندگی می‌کنند. در اغلب مناطق جهان زیستگاه قورباغه‌ها گسترده شده‌است، بااین‌حال آن‌ها در قطب جنوب و و در بسیاری از جزایر اقیانوسی حضور ندارند. با توجه به ساختار و نیاز پوست قورباغه‌ها، بزرگترین تنوع آن‌ها را می‌توان در در مناطق گرمسیری جهان، جایی که آب به آسانی در دسترس است، یافت. برخی از گونه‌های قورباغه دارای مواد ضدیخ در خون خود هستند به‌طوری‌که با آغاز زمستان و پایین آمدن دما بدنشان منجمد می‌گردد و با فرارسیدن بهار بدن یخ زده‌شان دوباره احیاء می‌شود و قورباغه به حیات خود ادامه می‌دهد. قورباغه‌ها به صورت تجاری برای اهداف مختلفی مورد استفاده قرار می‌گیرند.,"['خشک و زگیل مانند', 'خشک و زگیل مانند']",پوست خشک و زگیل مانند دارند و عمدتاً روی خشکی زندگی می‌کنند.
در کجاهای دنیا قورباغه‌ نداریم؟,قورباغه، وَک یا غوک یا چغز به فارسی افغانستان بقه جانوری است دوزیست از راسته بی‌دمان. رایج‌ترین دوزیستان جهان قورباغه‌ها و وزغ‌ها هستند. نوع بالغ قورباغه‌ها عموماً بدون دم و چمباته‌زده هستند، آن‌ها پاهای بلند عقب برای پریدن و زبان بلند چسبناک برای گرفتن طعمه دارند. معمولاً قورباغه‌ها بدن نرم و مرطوب دارند و در نزدیکی آب‌ها زندگی می‌کنند. وزغها اما پوست خشک و زگیل مانند دارند و عمدتاً روی خشکی زندگی می‌کنند. در اغلب مناطق جهان زیستگاه قورباغه‌ها گسترده شده‌است، بااین‌حال آن‌ها در قطب جنوب و و در بسیاری از جزایر اقیانوسی حضور ندارند. با توجه به ساختار و نیاز پوست قورباغه‌ها، بزرگترین تنوع آن‌ها را می‌توان در در مناطق گرمسیری جهان، جایی که آب به آسانی در دسترس است، یافت. برخی از گونه‌های قورباغه دارای مواد ضدیخ در خون خود هستند به‌طوری‌که با آغاز زمستان و پایین آمدن دما بدنشان منجمد می‌گردد و با فرارسیدن بهار بدن یخ زده‌شان دوباره احیاء می‌شود و قورباغه به حیات خود ادامه می‌دهد. قورباغه‌ها به صورت تجاری برای اهداف مختلفی مورد استفاده قرار می‌گیرند.,"['قطب جنوب و و در بسیاری از جزایر اقیانوسی', 'قطب جنوب و و در بسیاری از جزایر اقیانوسی']",در قطب جنوب و و در بسیاری از جزایر اقیانوسی حضور ندارند.
انجیل‌های عهد جدید در چه سالی ایجاد شده اند؟,یک اِنجیل، شرحی از زندگی و آموزه‌های عیسی است. چهار انجیل اصلی، یعنی انجیل متی، مرقس، لوقا و یوحنا، در کنار یکدیگر انجیل‌های عهد جدید از کتاب مقدس هستند و احتمالاً بین سال‌های ۶۶ تا ۱۱۰ میلادی نوشته شده‌اند. نام نویسندگان چهار انجیل مذکور مشخص نیست و این اسامی را در قرن دوم میلادی به آن‌ها داده‌اند. احتمال قریب به یقین هیچ‌کدام از نویسندگان این انجیل‌ها عیسی را از نزدیک نمی‌شناختند و هر چهار انجیل پس از نقل سینه به سینه سرانجام مکتوب شده‌اند. به اتفاق مسیحیان عهد جدید را به عنوان کتاب آسمانی خود قبول دارند و مطالعه می‌کنند. نام این بخش به پیمانی اشاره دارد که آغازگر دورهٔ جدیدی از ارتباط خداوند با انسان است. خداوند طبق این پیمان شریعتی را که از طریق موسی عطا کرده بود برداشت و ایمان به مسیح را شرط بخشایش گناهان انسان و رستگاری او قرار داد. عهد جدید علاوه بر چهار انجیل اصلی، کتاب اعمال رسولان، نامه‌های رسولان مسیح و کتاب مکاشفه را هم دربرمی‌گیرد. انجیل‌های دیگری هم در طول تاریخ نوشته شده‌است که همگی متاخرتر از چهار انجیل اصلی هستند.,"['احتمالاً بین سال\u200cهای ۶۶ تا ۱۱۰ میلادی', 'سال\u200cهای ۶۶ تا ۱۱۰']",بین سال‌های ۶۶ تا ۱۱۰ میلادی
نویسنده های چهار انجیل اصلی چه کسانی هستند؟,یک اِنجیل، شرحی از زندگی و آموزه‌های عیسی است. چهار انجیل اصلی، یعنی انجیل متی، مرقس، لوقا و یوحنا، در کنار یکدیگر انجیل‌های عهد جدید از کتاب مقدس هستند و احتمالاً بین سال‌های ۶۶ تا ۱۱۰ میلادی نوشته شده‌اند. نام نویسندگان چهار انجیل مذکور مشخص نیست و این اسامی را در قرن دوم میلادی به آن‌ها داده‌اند. احتمال قریب به یقین هیچ‌کدام از نویسندگان این انجیل‌ها عیسی را از نزدیک نمی‌شناختند و هر چهار انجیل پس از نقل سینه به سینه سرانجام مکتوب شده‌اند. به اتفاق مسیحیان عهد جدید را به عنوان کتاب آسمانی خود قبول دارند و مطالعه می‌کنند. نام این بخش به پیمانی اشاره دارد که آغازگر دورهٔ جدیدی از ارتباط خداوند با انسان است. خداوند طبق این پیمان شریعتی را که از طریق موسی عطا کرده بود برداشت و ایمان به مسیح را شرط بخشایش گناهان انسان و رستگاری او قرار داد. عهد جدید علاوه بر چهار انجیل اصلی، کتاب اعمال رسولان، نامه‌های رسولان مسیح و کتاب مکاشفه را هم دربرمی‌گیرد. انجیل‌های دیگری هم در طول تاریخ نوشته شده‌است که همگی متاخرتر از چهار انجیل اصلی هستند.,"['مشخص نیست', 'مشخص نیست']",انجیل متی، مرقس، لوقا و یوحنا
اسم عهد جدید در کتاب انجیل نشان دهنده چیست؟,یک اِنجیل، شرحی از زندگی و آموزه‌های عیسی است. چهار انجیل اصلی، یعنی انجیل متی، مرقس، لوقا و یوحنا، در کنار یکدیگر انجیل‌های عهد جدید از کتاب مقدس هستند و احتمالاً بین سال‌های ۶۶ تا ۱۱۰ میلادی نوشته شده‌اند. نام نویسندگان چهار انجیل مذکور مشخص نیست و این اسامی را در قرن دوم میلادی به آن‌ها داده‌اند. احتمال قریب به یقین هیچ‌کدام از نویسندگان این انجیل‌ها عیسی را از نزدیک نمی‌شناختند و هر چهار انجیل پس از نقل سینه به سینه سرانجام مکتوب شده‌اند. به اتفاق مسیحیان عهد جدید را به عنوان کتاب آسمانی خود قبول دارند و مطالعه می‌کنند. نام این بخش به پیمانی اشاره دارد که آغازگر دورهٔ جدیدی از ارتباط خداوند با انسان است. خداوند طبق این پیمان شریعتی را که از طریق موسی عطا کرده بود برداشت و ایمان به مسیح را شرط بخشایش گناهان انسان و رستگاری او قرار داد. عهد جدید علاوه بر چهار انجیل اصلی، کتاب اعمال رسولان، نامه‌های رسولان مسیح و کتاب مکاشفه را هم دربرمی‌گیرد. انجیل‌های دیگری هم در طول تاریخ نوشته شده‌است که همگی متاخرتر از چهار انجیل اصلی هستند.,"['به پیمانی اشاره دارد که آغازگر دورهٔ جدیدی از ارتباط خداوند با انسان است', 'آغازگر دورهٔ جدیدی از ارتباط خداوند با انسان']",به پیمانی اشاره دارد که آغازگر دورهٔ جدیدی از ارتباط خداوند با انسان است.
اکسید مغناطیسی آهن چیه؟,قُطب‌نما وسیله‌ای برای تعیین جهت (جهت‌یابی) است. این وسیله با استفاده از میدان مغناطیسی زمین جهت قطب شمال را نشان می‌دهد که در حقیقت شمال مغناطیسی زمین است؛ که با شمال حقیقی مقداری فاصله دارد. زاویه بین شمال حقیقی و شمال مغناطیسی، میل مغناطیسی نامیده می‌شود. امروزه برای تعیین شمال حقیقی از قطب‌نماهای پیشرفته‌تری مانند قطب‌نمای ژیروسکوپی استفاده می‌شود. قطب‌نمایی که از یک آهنربا ساخته شده یعنی قطب‌نمای مغناطیسی جهت را نشان می‌دهد زیرا زمین چون آهنربای بزرگی عمل می‌کند. نیروی آهنربایی زمین قطب‌نما یا سوزن مغناطیسی را به سوی شمال و جنوب می‌کشد. کسی نمی‌داند که چه کسی اول بار قطب‌نما را ساخت. برخی گمان می‌کنند که چینیان نخستین بار قطب‌نما را ساختند برخی دیگر می‌گویند که قطب‌نما در ایتالیا اختراع شده‌است. بعضی از نخستین قطب‌نماها تکه‌های اکسید مغناطیسی آهن بوده‌اند که بر قطعات چوبی یا چوب‌پنبه قرار داشتند و در یک ظرف آب شناور بودند. اکسید مغناطیسی آهن نوعی کانی آهن است یک نام دیگر آن ماگنتیت است. تکه‌های ماگنتیت آهنرباهای طبیعی هستند. پس از آن مردم ساختن آهن‌ربا از فولاد را یادگرفتند و توانستند قطب‌نماهای بهتری بسازند.,"['نوعی کانی آهن', 'نوعی کانی آهن']",نوعی کانی آهن است یک نام دیگر آن ماگنتیت است.
قطب نما برای چی استفاده می شه؟,قُطب‌نما وسیله‌ای برای تعیین جهت (جهت‌یابی) است. این وسیله با استفاده از میدان مغناطیسی زمین جهت قطب شمال را نشان می‌دهد که در حقیقت شمال مغناطیسی زمین است؛ که با شمال حقیقی مقداری فاصله دارد. زاویه بین شمال حقیقی و شمال مغناطیسی، میل مغناطیسی نامیده می‌شود. امروزه برای تعیین شمال حقیقی از قطب‌نماهای پیشرفته‌تری مانند قطب‌نمای ژیروسکوپی استفاده می‌شود. قطب‌نمایی که از یک آهنربا ساخته شده یعنی قطب‌نمای مغناطیسی جهت را نشان می‌دهد زیرا زمین چون آهنربای بزرگی عمل می‌کند. نیروی آهنربایی زمین قطب‌نما یا سوزن مغناطیسی را به سوی شمال و جنوب می‌کشد. کسی نمی‌داند که چه کسی اول بار قطب‌نما را ساخت. برخی گمان می‌کنند که چینیان نخستین بار قطب‌نما را ساختند برخی دیگر می‌گویند که قطب‌نما در ایتالیا اختراع شده‌است. بعضی از نخستین قطب‌نماها تکه‌های اکسید مغناطیسی آهن بوده‌اند که بر قطعات چوبی یا چوب‌پنبه قرار داشتند و در یک ظرف آب شناور بودند. اکسید مغناطیسی آهن نوعی کانی آهن است یک نام دیگر آن ماگنتیت است. تکه‌های ماگنتیت آهنرباهای طبیعی هستند. پس از آن مردم ساختن آهن‌ربا از فولاد را یادگرفتند و توانستند قطب‌نماهای بهتری بسازند.,"['قُطب\u200cنما وسیله\u200cای برای تعیین جهت (جهت\u200cیابی)', 'برای تعیین جهت']",این وسیله با استفاده از میدان مغناطیسی زمین جهت قطب شمال را نشان می‌دهد
